date	close	index
28-Dec-09	211.61	2
25-Dec-09	209.04	2
24-Dec-09	209.04	2
23-Dec-09	202.1	3
22-Dec-09	200.36	1
21-Dec-09	198.23	1
18-Dec-09	195.43	2
17-Dec-09	191.86	1
16-Dec-09	195.03	2
15-Dec-09	194.17	1
14-Dec-09	196.98	3
11-Dec-09	194.67	3
10-Dec-09	196.43	3
9-Dec-09	197.8	1
8-Dec-09	189.87	1
7-Dec-09	188.95	3
4-Dec-09	193.32	2
3-Dec-09	196.48	1
2-Dec-09	196.23	3
1-Dec-09	196.97	3
30-Nov-09	199.91	3
27-Nov-09	200.59	2
26-Nov-09	204.19	1
25-Nov-09	204.19	2
24-Nov-09	204.44	2
23-Nov-09	205.88	3
20-Nov-09	199.92	3
19-Nov-09	200.51	3
18-Nov-09	205.96	3
17-Nov-09	207.0	2
16-Nov-09	206.63	1
13-Nov-09	204.45	1
12-Nov-09	201.99	1
11-Nov-09	203.25	2
10-Nov-09	202.98	1
9-Nov-09	201.46	1
6-Nov-09	194.34	3
5-Nov-09	194.03	1
4-Nov-09	190.81	1
3-Nov-09	188.75	1
2-Nov-09	189.31	3
30-Oct-09	188.5	3
29-Oct-09	196.35	3
28-Oct-09	192.4	3
27-Oct-09	197.37	1
26-Oct-09	202.48	3
23-Oct-09	203.94	2
22-Oct-09	205.2	3
21-Oct-09	204.92	3
20-Oct-09	198.76	1
19-Oct-09	189.86	3
16-Oct-09	188.05	3
15-Oct-09	190.56	3
14-Oct-09	191.29	3
13-Oct-09	190.02	1
12-Oct-09	190.81	2
9-Oct-09	190.47	1
8-Oct-09	189.27	2
7-Oct-09	190.25	3
6-Oct-09	190.01	2
5-Oct-09	186.02	1
2-Oct-09	184.9	1
1-Oct-09	180.86	1
30-Sep-09	185.35	1
29-Sep-09	185.38	2
28-Sep-09	186.15	3
25-Sep-09	182.37	3
24-Sep-09	183.82	1
23-Sep-09	185.5	3
22-Sep-09	184.48	3
21-Sep-09	184.02	3
18-Sep-09	185.02	2
17-Sep-09	184.55	1
16-Sep-09	181.87	1
15-Sep-09	175.16	1
14-Sep-09	173.72	1
11-Sep-09	172.16	3
10-Sep-09	172.56	1
9-Sep-09	171.14	3
8-Sep-09	172.93	2
4-Sep-09	170.31	1
3-Sep-09	166.55	1
